id,lat,long
94,-29.1673558,-51.1840346
95,-29.1535432,-51.1506985
96,-28.1652568,-52.1742459
97,-29.7587724,-57.0808889
98,-29.0982255,-49.6312081
99,-25.5129773,-54.557436
100,-23.2825037,-45.99437
101,-25.4389034,-49.2664059
102,-29.6729695,-51.0527826
103,-30.0275973,-51.2193422
104,-26.9821432,-48.6351288
105,-27.7088794,-51.7612032
106,-26.8859535,-48.697814
107,-23.2799804,-51.1128122
108,-25.4327236,-49.3044314
109,-29.6100229,-51.0371452
110,-25.4562594,-49.2657839
111,-20.7883979,-43.4667826
112,-28.0586689,-53.0659592
113,-29.7332387,-51.5375822
114,-26.7854103,-51.0096039
115,-21.120985,-45.6439569
116,-30.2043529,-52.0381858
117,-1.4155614,-48.4693657
118,-15.7531789,-48.3078624
119,-28.6634234,-52.8654322
120,-29.3612933,-50.8346635
121,-22.7312994,-47.6510535
122,-27.9983338,-52.666496
123,-15.7531789,-48.3078624
124,-25.5395796,-49.2005547
125,-30.2468769,-51.8738082
126,-29.1499091,-54.7221758
127,-29.9470344,-50.9706115
128,-25.428413,-49.2702092
129,-26.1551696,-49.2944336
130,-28.3675862,-49.0476352
131,-1.4301148,-48.4531202
132,-29.8459614,-51.163116
133,-25.4223849,-53.189975
134,-28.5696726,-53.6223792
135,-27.3607176,-53.6655552
136,-23.3060532,-51.1506985
137,-23.2548918,-51.0622448
138,-16.6181451,-51.08857
139,-28.8530142,-52.2461973
140,-28.303009,-54.2599946
141,-30.0246618,-51.2088792
142,-26.914769,-48.965757
143,-17.8251344,-53.2798384
144,-26.1687521,-52.6713869
145,-29.9806592,-51.188607
146,-22.7663634,-43.3348977
147,-25.1384742,-50.1562351
148,-31.3287646,-54.0990944
149,-5.3520867,-49.1341492
150,-27.5651221,-48.629492
151,-23.666168,-51.3548602
152,-30.0142992,-51.2167268
153,-28.4125566,-53.9323642
154,-23.1911655,-46.7898058
155,-29.9029366,-51.1774935
156,-27.1510924,-48.8982481
157,-28.6626198,-49.424998
158,-28.29985,-54.2654558
159,-29.2083008,-51.3943128
160,-27.7306181,-52.5368602
161,-22.343534,-49.0690842
162,-28.2522125,-52.416588
163,-26.2994809,-48.849173
164,-28.4128588,-53.323455
165,-27.3305573,-53.0599118
166,2.8128373,-60.7272462
167,-17.7894412,-50.9354742
168,-27.9983338,-52.666496
169,-29.4502864,-51.9964368
170,-17.8251344,-53.2798384
171,-27.7734456,-48.6295046
172,-25.5435171,-49.2613347
173,-26.3410481,-51.038615
174,-12.636895,-39.095857
175,-5.5274156,-47.4796914
176,-1.884701,-48.765215
177,-29.413313,-52.9895099
