gid,lat,long,ano_farm_pop,mes_farm_pop,ds_endereco_farmacia,nu_cep_farmacia,uf,cidade
"76","-12.9311523","-38.5106125","2014","2","AV. LUIZ TARQUINIO, S/N LARGO DE ROMA - HOSP. IRMÃ DULCE","40414120","BA","Salvador"
"324","-5.1106204","-42.7479203","2014","2","RUA CINQUENTA E QUATRO S/N","64079345","PI","Teresina"
"34","-12.9795126","-39.2640013","2014","2","PRAÇA SENADOR TEMISTOCLES Nº 756 SEDE","4438000","BA","Cruz das Almas"
"20","-2.9914283","-60.0230559","2014","2","RUA SAMAMBAIA Nº 816 CASA 07","69059500","AM","Manaus"
"191","-21.7645228","-43.354809","2014","2","RUA ESPIRITO SANTO N 1064","36016200","MG","Juiz de Fora"
"10","-9.6700201","-35.7151604","2014","2","RUA VEREADOR MIGUEL TAVARES, Nº398","57625000","AL","Teotônio Vilela"
"287","-7.2186163","-35.9032676","2014","2","RUA VITORINA BARRETO DE OLIVEIRA Nº 204","58108185","PB","Campina Grande"
"62","-12.9529647","-38.4705355","2014","2","AVENIDA BARROS REIS SN","41185300","BA","Salvador"
"313","-8.0127621","-34.8472401","2014","2","AVENIDA JOAQUIM NABUCO S/N ARMAZEM MERCADO PUBLICO","53120010","PE","Olinda"
"63","-12.9740831","-38.4310918","2014","2","RUA PROFESSOR PINTO DE AGUIAR S/N","41710000","BA","Salvador"
"349","-22.8621116","-42.0212609","2014","2","RUA ESTRADA DE BUZIOS JARDIM ESPERANÇA","28922270","RJ","Cabo Frio"
"211","-19.455961","-44.2431628","2014","2","RUA DR PEDRO LUIZ 559","35700004","MG","Sete Lagoas"
"176","-19.9309713","-43.9448709","2014","2","RUA RIO GRANDE DO SUL Nº 54","30170110","MG","Belo Horizonte"
"61","-12.8592603","-38.4626486","2014","2","RUA 2 DE JULHO Nº 620 LOTE PARQUE CARVALHO QD 18","40750630","BA","Salvador"
"91","-7.3147428","-39.2972082","2014","2","RUA DIVINO SALVADOR, SN","6318000","CE","Barbalha"
"285","-7.2186163","-35.9032676","2014","2","RUA CAMPOS SALES 138","58104053","PB","Campina Grande"
"78","-12.9688312","-39.2574511","2014","2","ALLAN KARDECK N 264","4457108","BA","Santo Antônio de Jesus"
"325","-5.0363757","-42.8199107","2014","2","AV DR ANTONIO PEREIRA MARTINS S/N","64008190","PI","Teresina"
"6","-9.5410775","-35.7229421","2014","2","AVENIDA BENEDITO BENTES Nº 136","57084050","AL","Maceió"
"98","-7.2324552","-39.4101063","2014","2","RUA JOSE CARVALHO N 340","63100020","CE","Crato"
"181","-19.7828992","-42.1403768","2014","2","RUA MARECHAL DEODORO DA ONESC Nº 59 LOJA 1,2","35300085","MG","Caratinga"
"193","-21.516582","-42.65514","2014","2","RUA PLOBIO CORTES DE PAULA Nº 32","3670000","MG","Leopoldina"
"23","0.5582388","-68.1431414","2014","2","RUA EDILSON GONCALVES, 215","69750000","AM","São Gabriel da Cachoeira"
"389","-5.8396074","-35.1901151","2014","2","AVENIDA DAS FRONTEIRAS, Nº 700","59108355","RN","Natal"
"245","-1.3042651","-48.4812248","2014","2","RUA MANOEL BARATA,1765","66812020","PA","Belém"
"202","-18.5926206","-46.5203453","2014","2","PÇA DESEMBARGADOR FREDERICO, Nº 21","38700118","MG","Patos de Minas"
