gid,ds_endereco_farmacia,cidade,uf
480,RUA FLORIANO PEIXOTO Nº 86,Itapeva,SP
369,PRAÇA CHRISTIANO OTTONI S/N ESTAÇÃO FERROVIARIA D. PEDRO II,Rio de Janeiro,RJ
497,AV DAS ESMERALDAS N 149 TERREO,Osasco,SP
505,RUA DR BARROS JUNIOR Nº 247,Salto,SP
142,RUA 73 QUADRA 109 LOTE 18 LOJA 01,Valparaíso de Goiás,GO
456,AVENIDA ARMANDO SALES DE OLIVEIRA,Assis,SP
487,RODOVIA WALDOMIRO CORREA CAMARGO Nº 14,Itu,SP
481,AVENIDA PRESIDENTE VARGAS Nº 270,Itapevi,SP
339,RUA FELIPE CHEDE Nº 274,Paranaguá,PR
461,PRACA QUINZE DE NOVEMBRO Nº 53,Botucatu,SP
400,"RUA CORONEL CABRITA, N 141",Alegrete,RS
525,"AV DO CURSINO, 1274",São Paulo,SP
422,"AV. Integração, 1008",São Leopoldo,RS
135,RUA 04 QUADRA 14 LOTE 37 LOJA 4/5,Luziânia,GO
221,RUA 13 DE JUNHO 1288,Corumbá,MS
467,RUA ZACARIAS ANTONIO DA SILVA Nº 68,Cotia,SP
412,"RUA FAGUNDES DOS REIS, 215",Passo Fundo,RS
494,"RUA SANTA HELENA,130",Mauá,SP
469,RUA PROFESSORA VITALINA CAIAFFA ESQUIVEL Nº 54,Diadema,SP
331,RUA ARARUNA 805,Campo Mourão,PR
437,RUA CONEGO THOMAZ FONTES Nº 182,Itajaí,SC
508,AV PRINCIPE DE GALES Nº 821,Santo André,SP
138,"RUA COSTA GOMES, 341",Rio Verde,GO
464,RUA FERREIRA PENTEADO Nº 854,Campinas,SP
440,"RUA PREFEITO NELSON MARTINS, 235",Palhoça,SC
472,PRAÇA POMPILHO BESSA Nº 140,Francisco Morato,SP
482,"RUA AMIRABILE CHALUPPE, Nº 8",Itapevi,SP
338,"AV. COLOMBO, Nº 5790 BLOCO QUADRA 04 ANEXO ZONA 07 CAMPOS DA UNIVERSIDADE",Maringá,PR
454,RUA SILVA JARDIM Nº 363,Araçatuba,SP
229,RUA EUNAPOLIS S/N,Sinop,MT
462,TRAVESSA DR. FREITAS Nº 21,Caçapava,SP
136,QUADRA 110 LOTE 01,Novo Gama,GO
523,"AV BARO DE DUPRAT, Nº 123",São Paulo,SP
459,"PRACA ABILIO MANOEL, Nº",Bebedouro,SP
493,"AV ITAPARK, Nº 3203",Mauá,SP
479,RUA SAO PAULO N 39,Itapecerica da Serra,SP
491,AV BRASIL 184,Marília,SP
367,"RUA JOAO CARMO, N 27",Rio Bonito,RJ
528,"R JAVORAU, 70",São Paulo,SP
330,RUA ALFREDO PARODI N°764,Araucária,PR
503,AV GERONIMO GONCALVES S/N,Ribeirão Preto,SP
457,RUA SANTA CATARINA Nº 960,Avaré,SP
521,"RUA BATISTA CRESPO, Nº 65/71",São Paulo,SP
458,"AV 21, 1008",Barretos,SP
537,RUA MANOEL MATOS DA SILVA SOBRINHO REGO Nº 35,Taboão da Serra,SP
363,RUA EPITACIO PESSOA N 56,Petrópolis,RJ
483,PRAÇA PADRE JOÃO ALVARES Nº 35,Itaquaquecetuba,SP
368,"AV.DOM HELDER CAMARA,1390",Rio de Janeiro,RJ
527,"AV ZELINA, 1011",São Paulo,SP
532,RUA VOLUNTARIO OTTO GOMES MARTINS Nº 1095,Sertãozinho,SP
232,"RUA MANOEL VARGAS,27",Várzea Grande,MT
463,RUA CLOVIS BEVILACQUA N° 535,Campinas,SP
402,RUA GUILHERME MORSCH,Canoas,RS
470,RUA LUIS CARLOS PRESTES Nº 712,Diadema,SP
473,RUA CORYPHEU  AZEVEDO MARQUES Nº 83,Franco da Rocha,SP
465,AV INOCENCIO SERAFIO Nº 42,Carapicuíba,SP
362,"RUA WALDEMAR MATIAS, SN",Paraty,RJ
416,"RUA RIVADAVIA CORREA, Nº 429",Sant'Ana do Livramento,RS
455,RUA CARLOS GOMES N 1610 A,Araraquara,SP
355,"RUA MARCIAL ALVES MOREIRA, 51",Macaé,RJ
257,TRAVESSA 7 DE SETEMBRO Nº 228 - TERREO CENTRO,Curuçá,PA
